# 출처: Google Drive > 내 컴퓨터 > 내 노트북 > 01 도서 > {연도}
# 폴더ID: 2026=10ZY6eP8fz8qN7qQDd8d0CvAhgijnlyEN  2025=11CMZBesJeapeA5fH5KhnDaiAl0GYrDls
# 최종 스캔: 2026-09-19
# 수주여부: 폴더명 앞 "수주_" 접두사 기준
연도	관리번호	수주	고객사/EPC	최종수요처·사업명	품목
2026	26P0003		POSCO E&C	신호남CHP	BFP
2026	26P0038		SK	울산 UGPS	-
2026	26P0093	수주	서울에너지		BFP(2차)
2026	26P0116		현대ENG	용인열병합	CEP
2026	26P0125		SK	용인	소방
2026	26P0135		BHI	이스라엘 TZAFIT	CPH
2026	26P0146		현대ENG	하동복합	Sump
2026	26P0157		GS건설	G PJT	GSP
2026	26P0193		대우건설	고양창릉복합	COP
2026	26P0200		현대ENG	고양창릉복합	CWP
2026	26P0291		대우건설	투르크메니스탄 TMFC	-
2026	26P0310		GS건설	여수 그린에너지	COP
2026	26P0318		동부건설	한주 2단계 가스복합	-
2026	26P0327	수주	SK	대구 율하	소방
2025	25P0006		포스코플랜텍	POSCO 포항 수소 제조설비	BFP, COP (API)
2025	25P0013	수주	SH공사	노원열병합	BFP
2025	25P0019		GS건설	GS칼텍스	GSP(3000)
2025	25P0050		BHI	사비야2	CPH
2025	25P0062		-	TAIWAN DRY STORAGE FACILITY	-
2025	25P0066		동해종합기술공사	부산 가덕도 신공항	API
2025	25P0067		대우건설	베트남 NGHI SON	CEP
2025	25P0096		현대ENG	필리핀 Mahiao	COP
2025	25P0105		현대파워시스템	정읍바이오매스	BFP
2025	25P0111		현대ENG	필리핀 Mahiao	GSP, Sump
2025	25P0128		BHI	Rumah, Nairyah	CPH, BD pump
2025	25P0144		AST	신재생에너지 열공급시설 2호기	COP
2025	25P0145		AST	신재생에너지 열공급시설 2호기	GSP
2025	25P0174		해인기술	경북 자원회수시설	GSP
2025	25P0181		BHI	수원 CHP	BFP
2025	25P0215	수주	한국가스기술공사	부천열병합	-
2025	25P0223	수주	포스코이앤씨	포항 LNG	CEP
2025	25P0234		-	보임열병합	인라인펌프
2025	25P0238		OCI	군산공장	VMS200-3S
2025	25P0251		강원에너지	인도네시아 KDM gas boiler	BFP
2025	25P0256		KJ보일러	인도네시아 KDM gas boiler	BFP
2025	25P0260		대우건설	모잠비크 ROVUMA LNG	BFP
2025	25P0279		한국지역난방기술	안산,송산 집단에너지	Inline
2025	25P0291	수주	BHI	수원 CPH	CPH pump
2025	25P0312		태광산업	N PJT	ANSI
2025	25P0316		DL E&C	제주복합3호기	COP
2025	25P0322		현대ENG	송산빛그린	COP, DH COP
2025	25P0355		SK	포천 소홀 연료전지	소방
2025	25P0363		대우건설	송산빛그린	COP, DH COP
2025	25P0385	수주	건호이엔씨	그린케미컬 대산공장	Vertical
2025	25P0396	수주	BHI	여수 HRSG	CPH
2025	25P0401	수주	코오롱글로벌	정읍 바이오매스	Sump
2025	25P0428		도요ENG	HANTOK P PJT	소방
2025	25P0443		현대ENG	신호남CHP	BFP
